iter	Passed	Remaining
0	2	243
1	3	180
2	4	156
3	5	139
4	7	141
5	8	135
6	12	165
7	13	158
8	15	151
9	16	145
10	17	142
11	19	140
12	20	138
13	25	157
14	27	154
15	28	149
16	29	144
17	30	139
18	32	136
19	34	137
20	38	143
21	39	139
22	40	136
23	41	132
24	43	129
25	44	127
26	47	128
27	52	134
28	53	131
29	54	127
30	56	124
31	57	122
32	58	119
33	60	118
34	65	120
35	66	117
36	67	114
37	68	112
38	69	109
39	71	107
40	73	106
41	75	104
42	76	101
43	78	99
44	79	96
45	80	94
46	81	91
47	83	89
48	85	88
49	89	89
50	91	87
51	92	85
52	93	82
53	94	80
54	95	78
55	97	76
56	100	75
57	102	74
58	103	71
59	104	69
60	105	67
61	107	65
62	108	63
63	112	63
64	115	62
65	117	60
66	118	58
67	120	56
68	121	54
69	123	53
70	127	52
71	128	50
72	130	48
73	131	46
74	132	44
75	133	42
76	135	40
77	138	39
78	140	37
79	141	35
80	142	33
81	143	31
82	145	29
83	146	27
84	153	27
85	156	25
86	157	23
87	158	21
88	159	19
89	161	17
90	164	16
91	165	14
92	166	12
93	167	10
94	169	8
95	170	7
96	172	5
97	174	3
98	177	1
99	179	0
